asin_id,title
B003UV8T9A,"American Assassin: A Thriller (The Mitch Rapp Prequel Series)"
B000JMLILO,"Anna Karenina"
B005H0O8KQ,"Annals of the Former World"
B000JMLMXI,"The Autobiography of Benjamin Franklin"
B0011UGMHI,"The Ball is Round: A Global History of Soccer"
B000FA64VO,"The Big Sleep: A Novel (Philip Marlowe series Book 1)"
B002FU74Q6,"Capitalism and Freedom: Fortieth Anniversary Edition"
B000FC1HBY,"A Clash of Kings (A Song of Ice and Fire, Book 2)"
B0076QVQLI,"The Command: Deep Inside the President's Secret Army (Kindle Single)"
B005E8AJT0,"The Control of Nature"
B000JQU802,"Crime and Punishment"
B000FC11A6,"Cryptonomicon"
B00FO6HUWQ,"The Currents of Space (Galactic Empire series Book 2)"
B003YL4LYI,"A Dance with Dragons (A Song of Ice and Fire, Book 5)"
B000FCK904,"Dying to Win: The Strategic Logic of Suicide Terrorism"
B000VM9ZBM,"The Elements of Cooking: Translating the Chef's Craft for Every Kitchen"
B000FCKGPC,"A Feast for Crows (A Song of Ice and Fire, Book 4)"
B002DYJR4G,"Free: The Future of a Radical Price"
B000QCS8TW,"A Game of Thrones (A Song of Ice and Fire, Book 1)"
B000P2A43Q,"Ghost Wars: The Secret History of the CIA, Afghanistan, and bin Laden, from the Soviet Invas ion to September 10, 2001"
B001NLKT60,"The Girl Who Played with Fire (Millennium Series Book 2)"
B0015DROBO,"The Girl with the Dragon Tattoo (Millennium Series Book 1)"
B000JQUZ3W,"Gulliver's Travels"
B000VMFDR2,"In Defense of Food: An Eater's Manifesto"
B002RTINGU,"Inbound Marketing: Get Found Using Google, Social Media, and Blogs (New Rules Social Media Series)"
B004DEPHUC,"The Information: A History, a Theory, a Flood"
B00847CE6O,"An Inquiry into the Nature and Causes of the Wealth of Nations"
B002KQ6BT6,"The Lost Symbol: Featuring Robert Langdon"
B000FC1TDA,"The Man in the High Castle (Vintage)"
B000FCKOU4,"The Man Who Was Thursday: A Nightmare (Modern Library Classics)"
B003GYEGYS,"Men at Work: The Craft of Baseball"
B003XF1XOQ,"Mockingjay (Hunger Games Trilogy, Book 3)"
B000RH0C8G,"Moneyball: The Art of Winning an Unfair Game"
B000UG78NG,"The Name of the Wind: The Kingkiller Chronicle: Day One"
B0013TTKL2,"Nixonland: The Rise of a President and the Fracturing of America"
B000SEIDR0,"The Omnivore's Dilemma: A Natural History of Four Meals"
B003XT605E,"Outer Dark (Vintage International)"
B00FO70Y0A,"Pebble in the Sky (Galactic Empire series Book 3)"
B002T460I6,"The Plague"
B000JML9AY,"The Prince"
B001UP63MI,"Ratio: The Simple Codes Behind the Craft of Everyday Cooking"
B002MUAJ2A,"Rework"
B005LVR6NC,"A Scanner Darkly"
B000FC1KC0,"See No Evil: The True Story of a Ground Soldier in the CIA's War Against Terrorism"
B004WOETSE,"Sex, Lies and Handlebar Tape: The Remarkable Life of Jacques Anquetil, the First Five-Times Winner of the Tour de France"
B008S0E77Q,"Shadow &amp; Claw: The First Half of 'The Book of the New Sun'"
B000FBJCJE,"Snow Crash"
B000FBFN1U,"A Storm of Swords (A Song of Ice and Fire, Book 3)"
B00B1MSI1Y,"The Summer Game (Bison Book)"
B001P064LI,"Think and Grow Rich"
B005LVR6C8,"The Three Stigmata of Palmer Eldritch"
B0082XP72S,"Two Years Before the Mast"
B005LVR6ZA,"Ubik"
B005LVQZ98,"VALIS (VALIS Trilogy Book 1)"
B0035II95C,"WAR"
B002RKRUPE,"War and Peace"
B00475AYJQ,"The Wise Man's Fear (The Kingkiller Chronicle, Book 2)"
B004TOX2I0,"Writings of Thomas Paine - Volume 4 (1794-1796): the Age of Reason"
